region,vehicle_type,traffic,category,shipment_volume,distance_km,fuel_cost,transport_cost,actual_delivery_time_hr,predicted_delivery_time_hr,prediction_error_hr,risk_level,recommendation
South,Van,High,Electronics,43,18.38882093679576,1.3127258219940965,66.76794130099856,2.3007288156053867,2.4485439834943237,-0.147815167888937,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
South,Truck,Medium,Clothing,38,28.56606919703588,4.16727360918723,83.47120989222238,1.990737108500012,2.1766217373993255,-0.18588462889931345,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
West,Van,Low,Electronics,44,18.62710448121805,2.1078051196630576,52.51096444348016,1.1581407322172956,1.2477780812740555,-0.08963734905675991,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Truck,Medium,Clothing,38,27.44183905561599,4.252260965821377,70.44558722932501,2.3983056997019023,2.1257841152579164,0.2725215844439859,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
West,Truck,Low,Home,36,28.58582665892338,4.872076891823165,70.67622314503785,1.794926382782719,1.6320465044735546,0.1628798783091645,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Van,High,Clothing,37,7.557643081699496,1.0731082522367448,44.585482686713306,2.097035362069564,1.869219419430654,0.22781594263891014,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Bike,Low,Electronics,40,19.48225463371776,0.9218293367192544,54.62006219590656,0.9356588044271908,1.1573271768632751,-0.22166837243608428,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Van,Medium,Grocery,37,16.62121009469623,1.2236794897073064,57.83444763229237,2.1777287739980604,1.9191093338563632,0.25861944014169724,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Bike,Medium,Clothing,50,11.39172604701784,0.9901253797077296,52.40663307789935,1.5348646624246802,1.515879272799427,0.0189853896252532,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Van,High,Electronics,39,11.80023450381359,0.9160976945924372,53.34649151343917,1.7741602537546517,2.1606800304536757,-0.38651977669902404,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
South,Truck,Medium,Grocery,40,31.80291197755445,5.1764340481349125,85.42731740574379,2.375948395031408,2.3295765161186153,0.04637187891279293,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
North,Van,High,Home,34,15.413647780100778,2.9518318222486,62.8562163368179,2.37260807077718,2.142139635294817,0.23046843548236318,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
North,Truck,Low,Clothing,36,32.346667426099245,5.122769474644114,72.46238169040096,1.7051443264304866,1.5675306726649167,0.1376136537655699,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Van,High,Clothing,46,35.388294837284086,3.855897714603248,99.68193033921555,2.886810977697624,2.955546768068891,-0.06873579037126731,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
East,Van,High,Electronics,43,29.07113958764915,3.6211621795589615,81.32334847413746,2.578873997857529,2.9801558547933946,-0.4012818569358658,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
West,Van,Medium,Grocery,47,36.13333063746274,3.712778470388205,95.38598164895906,2.1474576954668168,2.2538577498569223,-0.10640005439010558,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
West,Van,Low,Grocery,41,33.02174812804807,3.067978021068059,80.90740536861836,1.0672451180225142,1.6648592634578065,-0.5976141454352923,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Truck,Medium,Home,42,26.59188835434593,4.1990908703367165,74.97279381808542,1.8718484511375688,1.8956030448445387,-0.023754593706969862,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Truck,Medium,Home,50,13.49249676587676,2.373804139577665,53.64581399044378,1.640601959580359,1.67360542190182,-0.03300346232146101,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Truck,Low,Clothing,30,11.023400166002588,1.7947988089833296,38.170403478607255,1.0707853404200671,1.1420862416118414,-0.07130090119177424,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Van,Medium,Home,29,21.43709720216524,2.0496283903300725,62.097427233679305,1.4441268778629,1.575716367944555,-0.131589490081655,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Bike,Medium,Grocery,36,25.60125126308885,1.0916643448703582,68.56551037121743,1.9995593002350784,2.0678288647755765,-0.06826956454049804,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
South,Truck,Low,Home,36,25.22555594758344,3.126773165818787,64.80459552566911,1.967214091363802,1.5816267950025455,0.38558729636125655,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Van,High,Grocery,39,33.870305688974746,3.6394274833950537,90.53873633777611,2.935057483690719,2.9181646108769925,0.016892872813726534,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
East,Bike,Medium,Clothing,42,28.4918081554799,1.5039603576820832,77.54007700485136,2.174040270249078,2.1386759384470158,0.03536433180206222,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Van,Medium,Home,35,11.455859701769793,0.7545428253642386,48.07682414778457,2.048033571544648,1.732084606511696,0.3159489650329519,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Truck,Medium,Electronics,48,32.6238442556481,5.171737326358149,85.19864240943676,2.7133121547955747,2.547136713106972,0.16617544168860254,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
East,Van,Low,Clothing,40,15.419229878600923,1.506492832146743,56.59174848336188,1.6737819202474689,1.4116907174585631,0.26209120278890574,Low,Continue normal dispatch operations while maintaining standard monitoring.
